timestep,reward,resulting_max_loading,mw_amount,converged
20621,9.98510456085205,69.41529262928226,4.46862268447876,True
20622,9.985137939453125,10.94523291051617,4.458734512329102,True
20623,9.989063262939453,12.571626157498962,3.2810120582580566,True
20624,9.971460342407227,18.492073654210206,8.562040328979492,True
20625,9.931835174560547,19.11755820316679,20.449403762817383,True
20626,9.963929176330566,54.4193860137269,10.821283340454102,True
20627,9.74493408203125,9.961525502591952,76.51985931396484,True
20628,-40.127315521240234,128.0732202982254,216.6095428466797,True
20629,9.788756370544434,10.464549270538374,63.37297439575195,True
20630,9.651611328125,23.830187623351303,104.5167236328125,True
20631,9.912395477294922,38.58757126176613,26.28139305114746,True
20632,9.885786056518555,49.945366274843636,34.26420211791992,True
20633,9.961177825927734,15.183451238057936,11.646705627441406,True
20634,9.934121131896973,10.804135601862011,19.763553619384766,True
20635,9.970263481140137,27.214967297988025,8.920910835266113,True
20636,9.967355728149414,20.735250482527466,9.7933349609375,True
20637,9.7741060256958,13.647270858514874,67.76822662353516,True
20638,9.904146194458008,21.985533334103184,28.755998611450195,True
20639,9.981593132019043,14.6213580936737,5.522176742553711,True
20640,9.972311019897461,16.281962029135446,8.306631088256836,True
20641,9.983630180358887,36.05403503711611,4.91105318069458,True
20642,9.979621887207031,64.47422588680584,6.113326549530029,True
20643,9.830133438110352,34.1343849610178,50.95990753173828,True
20644,9.988585472106934,48.90040974180906,3.4242420196533203,True
20645,9.844023704528809,48.87285031550433,46.792781829833984,True
20646,9.987125396728516,17.153416067511408,3.862264633178711,True
20647,9.98694896697998,52.823961231646386,3.9153008460998535,True
20648,-1.0790965557098389,103.76497017451666,111.10394287109375,True
20649,9.945842742919922,10.218232422078307,16.247150421142578,True
20650,9.947898864746094,24.71890455325371,15.630376815795898,True
20651,9.992741584777832,12.550199379522859,2.177462100982666,True
20652,9.726849555969238,33.197411908577934,81.94499206542969,True
20653,9.978160858154297,23.248213150023016,6.551715850830078,True
20654,9.98645305633545,65.25543761356815,4.064011573791504,True
20655,9.957907676696777,16.40330734312782,12.627643585205078,True
20656,9.937088966369629,24.886037992083526,18.873416900634766,True
20657,9.987200736999512,16.416786777590346,3.8397164344787598,True
20658,9.98870849609375,31.210708072739475,3.387361764907837,True
20659,9.990152359008789,14.594638786279754,2.9541759490966797,True
20660,9.99467658996582,47.651495657341684,1.5971213579177856,True
20661,-267.2259216308594,172.969483405932,299.59765625,True
20662,9.973453521728516,16.92462805656511,7.963916778564453,True
20663,9.994186401367188,16.97423257421357,1.7439544200897217,True
20664,9.990557670593262,12.143728279330162,2.8327524662017822,True
20665,9.862164497375488,9.778092493502342,41.35065841674805,True
20666,9.991816520690918,11.966593567297389,2.455106258392334,True
20667,9.983163833618164,53.525761241937666,5.050751686096191,True
20668,9.979108810424805,20.16391739341068,6.2674102783203125,True
20669,9.9344482421875,42.164968567248415,19.665660858154297,True
20670,9.983884811401367,32.39127871329141,4.834485054016113,True
20671,9.927685737609863,9.715789703017014,21.694412231445312,True
20672,-66.02295684814453,136.09190571966144,267.5032043457031,True
20673,9.987378120422363,13.952849444057158,3.7864387035369873,True
20674,9.9913911819458,51.916584433097604,2.5827527046203613,True
20675,9.989092826843262,51.41576738875624,3.2722859382629395,True
20676,9.994519233703613,54.97069565073358,1.6442656517028809,True
20677,9.992857933044434,13.407451612946797,2.1425843238830566,True
20678,9.730478286743164,81.45817368946676,80.85660552978516,True
20679,9.948470115661621,20.21003324258853,15.459063529968262,True
20680,9.823251724243164,9.985254959985983,53.02456283569336,True
20681,9.92262077331543,15.275510596411095,23.21389389038086,True
20682,9.999009132385254,11.137527226692786,0.29739439487457275,True
20683,9.963449478149414,8.984223046484555,10.96508502960205,True
20684,9.942197799682617,43.07431046335016,17.340749740600586,True
20685,-0.3750455677509308,100.8593269267126,101.43702697753906,True
20686,9.904233932495117,10.440928113898122,28.729909896850586,True
20687,9.989424705505371,26.29764706682562,3.1725704669952393,True
20688,9.865065574645996,20.136655810322633,40.48044204711914,True
20689,9.86408519744873,23.442161529609905,40.774574279785156,True
20690,9.99182415008545,19.0700170190709,2.4526567459106445,True
20691,9.972283363342285,18.82183361265655,8.315053939819336,True
20692,9.994728088378906,11.339680721956467,1.5816450119018555,True
20693,9.985931396484375,46.337813752944726,4.220518589019775,True
20694,9.799301147460938,9.424992983698736,60.20970153808594,True
20695,9.922693252563477,39.67676277032008,23.191944122314453,True
20696,9.988775253295898,18.581363388556856,3.367495536804199,True
20697,9.958321571350098,19.05517373405693,12.503448486328125,True
20698,9.931825637817383,17.646798002789595,20.452245712280273,True
20699,9.943623542785645,16.627125156506022,16.912893295288086,True
20700,-152.2743682861328,155.00773590672628,294.54754638671875,True
20701,9.468779563903809,10.47899072108414,159.3662567138672,True
20702,9.939470291137695,15.197819135186949,18.158769607543945,True
20703,9.858153343200684,12.329975854600264,42.55405807495117,True
20704,9.85783863067627,26.511389865357092,42.64841842651367,True
20705,9.948472023010254,32.89773692720935,15.458268165588379,True
